iterationID	ALLZONE	AsiaWS	CAEQ	CatNonGOM	ChinaEQ	EuropeEQ	GMWS	JapanEQ	Noncat	PNWEQ	TaiwanEQ	USEQ
53799	206514	0	0	0	0	0	0	0	206514	0	0	0
53800	0	0	0	0	0	0	0	0	0	0	0	0
53801	1.0354e+006	0	0	0	0	0	0	0	1.0354e+006	0	0	0
53802	0	0	0	0	0	0	0	0	0	0	0	0
53803	0	0	0	0	0	0	0	0	0	0	0	0
53804	2.32647e+006	0	0	0	0	0	0	0	2.32647e+006	0	0	0
53805	0	0	0	0	0	0	0	0	0	0	0	0
53806	0	0	0	0	0	0	0	0	0	0	0	0
53807	274838	0	0	0	0	0	0	0	274838	0	0	0
53808	0	0	0	0	0	0	0	0	0	0	0	0
53809	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53810	776079	0	0	0	0	0	0	0	776079	0	0	0
53811	90038.4	0	0	0	0	0	0	0	90038.4	0	0	0
53812	0	0	0	0	0	0	0	0	0	0	0	0
53813	0	0	0	0	0	0	0	0	0	0	0	0
53814	0	0	0	0	0	0	0	0	0	0	0	0
53815	0	0	0	0	0	0	0	0	0	0	0	0
53816	1.56861e+006	0	0	0	0	0	0	0	1.56861e+006	0	0	0
53817	0	0	0	0	0	0	0	0	0	0	0	0
53818	814090	0	0	0	0	0	0	0	814090	0	0	0
53819	0	0	0	0	0	0	0	0	0	0	0	0
53820	523509	0	0	0	0	0	0	0	523509	0	0	0
53821	926502	0	0	0	0	0	0	0	926502	0	0	0
53822	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53823	334206	0	0	0	0	0	0	0	334206	0	0	0
53824	0	0	0	0	0	0	0	0	0	0	0	0
53825	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53826	38291.9	0	0	0	0	0	0	0	38291.9	0	0	0
53827	2.62661e+006	0	0	0	0	0	0	0	2.62661e+006	0	0	0
53828	185971	0	0	0	0	0	0	0	185971	0	0	0
53829	0	0	0	0	0	0	0	0	0	0	0	0
53830	0	0	0	0	0	0	0	0	0	0	0	0
53831	99175.8	0	0	0	0	0	0	0	99175.8	0	0	0
53832	1.49557e+006	0	0	1.49557e+006	0	0	0	0	0	0	0	0
53833	142505	0	0	0	0	0	0	0	142505	0	0	0
53834	235491	0	0	0	0	0	0	0	235491	0	0	0
53835	1.92573e+006	0	0	0	0	0	0	0	1.92573e+006	0	0	0
53836	0	0	0	0	0	0	0	0	0	0	0	0
53837	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53838	264628	0	0	0	0	0	0	0	264628	0	0	0
53839	201888	0	0	0	0	0	0	0	201888	0	0	0
53840	2.40397e+006	0	0	0	0	0	0	0	2.40397e+006	0	0	0
53841	0	0	0	0	0	0	0	0	0	0	0	0
53842	0	0	0	0	0	0	0	0	0	0	0	0
53843	194949	0	0	0	0	0	0	0	194949	0	0	0
53844	0	0	0	0	0	0	0	0	0	0	0	0
53845	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53846	1.26624e+006	0	0	0	0	0	0	0	1.26624e+006	0	0	0
53847	1.1181e+006	0	0	0	0	0	0	0	1.1181e+006	0	0	0
53848	1.7685e+006	0	0	0	0	0	0	0	1.7685e+006	0	0	0
53849	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53850	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53851	1.94997e+006	0	0	0	824970	0	0	0	1.125e+006	0	0	0
53852	1.58611e+006	0	0	0	0	0	0	0	1.58611e+006	0	0	0
53853	0	0	0	0	0	0	0	0	0	0	0	0
53854	100412	0	0	0	0	0	0	0	100412	0	0	0
53855	1.24061e+006	0	0	0	0	0	0	0	1.24061e+006	0	0	0
53856	1.18529e+006	0	0	0	0	0	0	0	1.18529e+006	0	0	0
53857	0	0	0	0	0	0	0	0	0	0	0	0
53858	535553	0	0	0	0	0	0	0	535553	0	0	0
53859	404835	0	0	0	0	0	0	0	404835	0	0	0
53860	1.0944e+006	0	0	0	0	0	0	0	1.0944e+006	0	0	0
53861	2.25e+006	0	0	0	0	0	0	0	2.25e+006	0	0	0
53862	0	0	0	0	0	0	0	0	0	0	0	0
53863	712712	0	0	0	0	0	0	0	712712	0	0	0
53864	0	0	0	0	0	0	0	0	0	0	0	0
53865	1.39385e+006	0	0	0	0	0	0	0	1.39385e+006	0	0	0
53866	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53867	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53868	0	0	0	0	0	0	0	0	0	0	0	0
53869	370294	0	0	0	0	0	0	0	370294	0	0	0
53870	1.00623e+006	0	0	0	0	0	0	0	1.00623e+006	0	0	0
53871	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53872	1.125e+006	0	0	0	0	0	0	0	1.125e+006	0	0	0
53873	0	0	0	0	0	0	0	0	0	0	0	0
53874	0	0	0	0	0	0	0	0	0	0	0	0
53875	0	0	0	0	0	0	0	0	0	0	0	0
53876	0	0	0	0	0	0	0	0	0	0	0	0
53877	92969.6	0	0	0	0	0	0	0	92969.6	0	0	0
53878	264872	0	0	0	0	0	0	0	264872	0	0	0
53879	726354	0	0	0	0	0	0	0	726354	0	0	0
